"File","Path","Size","Modified Time","Access Time","Created Time","hashType","Owner","Group","Mode"
"$RY3LL01.tmp","C:\$Recycle.Bin\S-1-5-21-976639367-2767848320-1737406049-1001\$RY3LL01.tmp","379805","Fri Oct 24 21:27:08 2014","Sun Oct 19 16:47:57 2014","Sun Oct 19 16:47:57 2014","53BA4C3A5B68FF2CDB2B51C5D2E97B57","0","0","33206"
"desktop.ini","C:\$Recycle.Bin\S-1-5-21-976639367-2767848320-1737406049-1001\desktop.ini","129","Sat Apr 19 02:55:57 2014","Sat Apr 19 02:55:57 2014","Sat Apr 19 02:55:57 2014","A526B9E7C716B3489D8CC062FBCE4005","0","0","33206"
"AdobeExchange_cs6.zxp","C:\Downloads\AdobeExchange_cs6.zxp","15389471","Tue Jul  1 17:34:49 2014","Thu Jul 10 03:23:37 2014","Tue Jul  1 17:28:46 2014","9EFECD3C59B4A961EDB05C42DE06562A","0","0","33206"
"btech_computer_syllabus.pdf","C:\Downloads\btech_computer_syllabus.pdf","179013","Fri May 30 19:47:18 2014","Fri May 30 19:42:04 2014","Fri May 30 19:42:04 2014","F7A789C0B8E97EF6E8B92E707CDF56A6","0","0","33206"
"calibre-64bit-1.40.0.msi","C:\Downloads\calibre-64bit-1.40.0.msi","61468672","Sun Jun 15 22:41:48 2014","Thu Jul 10 03:23:37 2014","Sun Jun 15 22:23:35 2014","1C88224E3ECA3E8E2F2251A0B40F4DCB","0","0","33206"
"Digital Logic And Computer Design By M. Morris Mano (2nd Edition).pdf","C:\Downloads\Digital Logic And Computer Design By M. Morris Mano (2nd Edition).pdf","13940396","Fri May 30 20:03:51 2014","Fri May 30 19:49:12 2014","Fri May 30 19:49:12 2014","F02C53C86DB2A5531CFEA4113DFA7F74","0","0","33206"
"download.html","C:\Downloads\download.html","35168","Thu Jul 17 21:19:33 2014","Thu Jul 17 21:19:19 2014","Thu Jul 17 21:19:19 2014","3CD29EF968BBE2B47FAAE06D9EA7BAF9","0","0","33206"
"M-600X-FA12-L12-9_100.mp4","C:\Downloads\M-600X-FA12-L12-9_100.mp4","57922933","Sat Jun 14 18:46:40 2014","Sat Jun 14 18:40:01 2014","Sat Jun 14 18:40:01 2014","22831A6C96B13A71BA6A41446E8731E3","0","0","33206"
"index.html","C:\Downloads\Drive E\api\docs\index.html","27926","Wed May  7 14:20:32 2014","Sun Oct 12 21:53:16 2014","Fri Jul 18 18:38:31 2014","DE70036B0AE8A8A2EF57EC53B68C9B3D","0","0","33206"
"allclasses-frame.html","C:\Downloads\Drive E\api\docs\api\allclasses-frame.html","551584","Wed May  7 13:38:50 2014","Sun Oct 12 21:53:16 2014","Fri Jul 18 18:39:10 2014","2F3899AD0F3FD134649175D5279377F5","0","0","33206"
